gid,name,province,DOMAIN,local_name,LAT,LONG
5009266,Binong,Jawa Barat,Jawa Barat,Kab. Subang,-6.33,107.799
5009267,Blanakan,Jawa Barat,Jawa Barat,Kab. Subang,-6.263,107.678
5009268,Bogor Barat,Jawa Barat,Jawa Barat,Kota Bogor,-6.569,106.762
5009269,Bogor Selatan,Jawa Barat,Jawa Barat,Kota Bogor,-6.6006,106.8058
5009270,Bogor Tengah,Jawa Barat,Jawa Barat,Kota Bogor,-6.662,106.852
5009271,Bogor Timur,Jawa Barat,Jawa Barat,Kota Bogor,-6.614,106.82
5009272,Bogor Utara,Jawa Barat,Jawa Barat,Kota Bogor,-6.576,106.821
5009273,Bojong,Jawa Barat,Jawa Barat,Kab. Purwakarta,-6.715,107.521
5009274,Bojong Genteng,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.834,106.718
5009275,Bojongasih,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.555,108.091
5009276,Bojonggambir,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.573,107.897
5009277,Bojonggede,Jawa Barat,Jawa Barat,Kab. Bogor,-6.5783,106.7873
5009278,Bojongloa Kaler,Jawa Barat,Jawa Barat,Kota Bandung,-6.932,107.572
5009279,Bojongloa Kidul,Jawa Barat,Jawa Barat,Kota Bandung,-6.946,107.581
5009280,Bojongmangu,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.431,107.192
5009281,Bojongpicung,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.58107,107.26867
5009282,Bojongsari,Jawa Barat,Jawa Barat,Kota Depok,-6.382,106.735
5009283,Bojongsoang,Jawa Barat,Jawa Barat,Kab. Bandung,-6.982,107.665
5009284,Bongas,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.36,108.01
5009285,Buahbatu,Jawa Barat,Jawa Barat,Kota Bandung,-6.948,107.638
5009286,Buahdua,Jawa Barat,Jawa Barat,Kab. Sumedang,-6.697,107.951
5009287,Bungbulang,Jawa Barat,Jawa Barat,Kab. Garut,-7.426,107.431
5009288,Bungursari,Jawa Barat,Jawa Barat,Kab. Purwakarta,-6.462,107.408
5009289,Bungursari,Jawa Barat,Jawa Barat,Kota Tasikmalaya,-7.308,108.159
5009290,Cabangbungin,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.076,107.12
5009291,Campaka,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.998312,107.142341
5009292,Campaka,Jawa Barat,Jawa Barat,Kab. Purwakarta,-6.51,107.48
5009293,Campaka Mulya,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.073,107.193
5009294,Cangkuang,Jawa Barat,Jawa Barat,Kab. Bandung,-7.05,107.525
5009295,Cantigi,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.29,108.161
5009296,Caringin,Jawa Barat,Jawa Barat,Kab. Bogor,-6.737,106.86
5009297,Caringin,Jawa Barat,Jawa Barat,Kab. Garut,-7.451,107.441
5009298,Caringin,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.833,106.889
5009299,Cariu,Jawa Barat,Jawa Barat,Kab. Bogor,-6.518,107.145
5009300,Ciambar,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.801,106.816
5009302,Ciampea,Jawa Barat,Jawa Barat,Kab. Bogor,-6.54738888888889,106.691194444444
5009303,Ciampel,Jawa Barat,Jawa Barat,Kab. Karawang,-6.461,107.334
5009304,Cianjur,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.82,107.126
5009305,Ciasem,Jawa Barat,Jawa Barat,Kab. Subang,-6.36,107.65
5009306,Ciater,Jawa Barat,Jawa Barat,Kab. Subang,-6.73,107.638
5009307,Ciawi,Jawa Barat,Jawa Barat,Kab. Bogor,-6.662,106.852
5009308,Ciawi,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.167,108.079
5009309,Ciawigebang,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.952,108.537
5009310,Cibadak,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.901,106.849
5009311,Cibalong,Jawa Barat,Jawa Barat,Kab. Garut,-7.661,107.765
5009312,Cibalong,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.535,108.342
5009313,Cibarusah,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.432,107.1
5009314,Cibatu,Jawa Barat,Jawa Barat,Kab. Garut,-7.1,107.977
5009315,Cibatu,Jawa Barat,Jawa Barat,Kab. Purwakarta,-6.55133,107.5149
5009316,Cibeber,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.95,107.152
5009317,Cibeunying Kaler,Jawa Barat,Jawa Barat,Kota Bandung,-6.886,107.613
5009318,Cibeunying Kidul,Jawa Barat,Jawa Barat,Kota Bandung,-6.898,107.63
5009319,Cibeureum,Jawa Barat,Jawa Barat,Kab. Kuningan,-7.086,108.646
5009320,Cibeureum,Jawa Barat,Jawa Barat,Kota Sukabumi,-6.93,106.948
5009321,Cibeureum,Jawa Barat,Jawa Barat,Kota Tasikmalaya,-7.355,108.243
5009322,Cibingbin,Jawa Barat,Jawa Barat,Kab. Kuningan,-7.05,108.683
5009323,Cibinong,Jawa Barat,Jawa Barat,Kab. Bogor,-6.482,106.854
5009324,Cibinong,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.30861111111111,107.1275
5009325,Cibiru,Jawa Barat,Jawa Barat,Kota Bandung,-6.915,107.706
5009326,Cibitung,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.22,107.09
5009327,Cibitung,Jawa Barat,Jawa Barat,Kab. Sukabumi,-7.386,106.615
5009328,Cibiuk,Jawa Barat,Jawa Barat,Kab. Garut,-7.065,107.918
5009329,Cibogo,Jawa Barat,Jawa Barat,Kab. Subang,-6.55,107.81
5009330,Cibuaya,Jawa Barat,Jawa Barat,Kab. Karawang,-6.07594444444444,107.214027777778
5009331,Cibugel,Jawa Barat,Jawa Barat,Kab. Sumedang,-6.969,108.038
5009332,Cibungbulang,Jawa Barat,Jawa Barat,Kab. Bogor,-6.523,106.637
5009333,Cicalengka,Jawa Barat,Jawa Barat,Kab. Bandung,-7.00062,107.823
5009334,Cicantayan,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.917,106.792
5009335,Cicendo,Jawa Barat,Jawa Barat,Kota Bandung,-6.901,107.562
5009336,Cicurug,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.87857,106.7429
5009337,Cidadap,Jawa Barat,Jawa Barat,Kab. Sukabumi,-7.291,106.938
5009338,Cidadap,Jawa Barat,Jawa Barat,Kota Bandung,-6.863,107.593
5009339,Cidahu,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.98,108.69
5009340,Cidahu,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.758,106.727
5009341,Cidaun,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.49055555555556,107.345
5009342,Cidolog,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.433,108.378
5009343,Cidolog,Jawa Barat,Jawa Barat,Kab. Sukabumi,-7.284,106.853
5009344,Ciemas,Jawa Barat,Jawa Barat,Kab. Sukabumi,-7.176,106.513
5009345,Cigalontang,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.295,107.938
5009346,Cigandamekar,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.883,108.502
5009347,Cigasong,Jawa Barat,Jawa Barat,Kab. Majalengka,-6.824,108.216
5009348,Cigedug,Jawa Barat,Jawa Barat,Kab. Garut,-7.325,107.794
5009349,Cigombong,Jawa Barat,Jawa Barat,Kab. Bogor,-6.678,106.783
5009350,Cigudeg,Jawa Barat,Jawa Barat,Kab. Bogor,-6.55277777777778,106.538583333333
5009351,Cigugur,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.943,108.406
